state,puma2k,puma12,stab,PUMAname,PUMA2kName,pop10,afact,AFACT2
6,2900,5302,CA,Monterey County (Northeast)--Salinas City,602900,148111,1,0.908
6,3001,5301,CA,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities",603001,122921,1,0.703
6,3001,5302,CA,Monterey County (Northeast)--Salinas City,603001,2,0,0
6,3002,5301,CA,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities",603002,52046,0.261,0.297
6,3002,5302,CA,Monterey County (Northeast)--Salinas City,603002,15090,0.076,0.092
6,3002,5303,CA,Monterey (South & East) & San Benito Counties,603002,132156,0.663,1
6,3100,4701,CA,Merced County (West & South)--Los Banos & Livingston Cities,603100,104190,0.408,0.996
6,3100,4702,CA,Merced County (Northeast)--Merced & Atwater Cities,603100,151176,0.592,1
6,3200,3900,CA,Madera County--Madera City,603200,150865,1,1
6,3301,1901,CA,"Fresno County (West)--Selma, Kerman & Coalinga Cities",603301,42,0,0
6,3301,1903,CA,Fresno County (Central)--Fresno City (East Central),603301,84234,0.257,0.827
6,3301,1904,CA,Fresno County (Central)--Fresno City (Southwest),603301,149345,0.455,0.878
6,3301,1905,CA,Fresno County (Central)--Fresno City (Southeast),603301,93459,0.285,0.864
6,3301,1906,CA,Fresno County (Central)--Clovis City,603301,1073,0.003,0.01
6,3302,1902,CA,Fresno County (North Central)--Fresno City (North),603302,150213,1,0.865
6,3401,1901,CA,"Fresno County (West)--Selma, Kerman & Coalinga Cities",603401,144682,0.888,1
6,3401,1902,CA,Fresno County (North Central)--Fresno City (North),603401,2410,0.015,0.014
6,3401,1904,CA,Fresno County (Central)--Fresno City (Southwest),603401,15356,0.094,0.09
6,3401,4701,CA,Merced County (West & South)--Los Banos & Livingston Cities,603401,427,0.003,0.004
6,3402,1902,CA,Fresno County (North Central)--Fresno City (North),603402,21026,0.073,0.121
6,3402,1903,CA,Fresno County (Central)--Fresno City (East Central),603402,17646,0.061,0.173
6,3402,1904,CA,Fresno County (Central)--Fresno City (Southwest),603402,5439,0.019,0.032
6,3402,1905,CA,Fresno County (Central)--Fresno City (Southeast),603402,14718,0.051,0.136
6,3402,1906,CA,Fresno County (Central)--Clovis City,603402,101569,0.351,0.99
6,3402,1907,CA,"Fresno County (East)--Sanger, Reedley & Parlier Cities",603402,129238,0.446,1
6,3501,10701,CA,Tulare County (Northwest)--Visalia City,603501,135978,1,1
6,3502,10702,CA,Tulare County (West Central)--Tulare & Porterville Cities,603502,143634,1,0.961
6,3503,10702,CA,Tulare County (West Central)--Tulare & Porterville Cities,603503,5847,0.036,0.039
6,3503,10703,CA,"Tulare County (Outside Visalia, Tulare & Porterville Cities)",603503,156720,0.964,1
6,3600,3100,CA,Kings County--Hanford City,603600,152982,1,1
6,3701,7901,CA,San Luis Obispo County (West)--Coastal Region,603701,35518,0.275,0.218
6,3701,7902,CA,San Luis Obispo County (East)--Inland Region,603701,93672,0.725,0.879
6,3702,7901,CA,San Luis Obispo County (West)--Coastal Region,603702,127531,0.908,0.782
6,3702,7902,CA,San Luis Obispo County (East)--Inland Region,603702,12916,0.092,0.121
6,3800,2901,CA,"Kern County (West)--Delano, Wasco & Shafter Cities",603800,10363,0.031,0.055
6,3800,2902,CA,Kern County (Central)--Bakersfield City (West),603800,173696,0.527,0.867
6,3800,2903,CA,Kern County (Central)--Bakersfield City (Northeast),603800,88019,0.267,0.567
6,3800,2904,CA,Kern County (Central)--Bakersfield City (Southeast),603800,57629,0.175,0.534
6,3800,2905,CA,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",603800,143,0,0.001
6,3901,2901,CA,"Kern County (West)--Delano, Wasco & Shafter Cities",603901,154390,1,0.813
6,3902,2904,CA,Kern County (Central)--Bakersfield City (Southeast),603902,20585,0.119,0.191
6,3902,2905,CA,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",603902,152249,0.881,0.817
6,3903,2901,CA,"Kern County (West)--Delano, Wasco & Shafter Cities",603903,25209,0.138,0.133
6,3903,2902,CA,Kern County (Central)--Bakersfield City (West),603903,26674,0.146,0.133
6,3903,2903,CA,Kern County (Central)--Bakersfield City (Northeast),603903,67125,0.368,0.433
6,3903,2904,CA,Kern County (Central)--Bakersfield City (Southeast),603903,29636,0.162,0.275
6,3903,2905,CA,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",603903,33896,0.186,0.182
6,4000,7112,CA,San Bernardino County (Southwest)--Upland & Montclair Cities,604000,17,0,0
6,4000,7113,CA,San Bernardino County (Southwest)--Ontario City,604000,162034,0.988,0.969
6,4000,7114,CA,San Bernardino County (Southwest)--Chino & Chino Hills Cities,604000,1873,0.011,0.012
6,4100,7104,CA,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City",604100,115,0.001,0.001
6,4100,7111,CA,San Bernardino County (Southwest)--Rancho Cucamonga City,604100,160979,0.999,0.975
6,4200,7104,CA,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City",604200,142,0.001,0.001
6,4200,7109,CA,San Bernardino County (Southwest)--Rialto City,604200,9327,0.053,0.086
